id,context,question,A,B,C,D,answer
166,"（四）早期肾衰竭
指被保险人因双肾功能慢性不可逆性损害，达到肾功能衰竭期，诊断必须满
足所有以下标准。
（1）肾小球滤过率（GFR）<25ml/min或肌酐清除率（Ccr）<25ml/min；
（2）血肌酐（Scr）>5mg/dl或>442umol/L；
（3）持续180天。
因系统性红斑狼疮所致早期肾衰竭不在本保障范围之内。",什么标准可以用来诊断早期肾衰竭？,根据以上保险条款内容，诊断早期肾衰竭需要满足以下标准：肾小球滤过率（GFR）小于30ml/min或肌酐清除率（Ccr）小于30ml/min；血肌酐（Scr）大于5mg/dl或大于442umol/L；持续365天。,根据以上保险条款内容，诊断早期肾衰竭需要满足以下标准：肾小球滤过率（GFR）小于25ml/min和肌酐清除率（Ccr）小于25ml/min；血肌酐（Scr）大于5mg/dl或大于442umol/L；持续180天。,根据以上保险条款内容，诊断早期肾衰竭需要满足以下标准：肾小球滤过率（GFR）小于20ml/min或肌酐清除率（Ccr）小于20ml/min；血肌酐（Scr）大于5mg/dl或大于442umol/L；持续180天。,根据以上保险条款内容，诊断早期肾衰竭需要满足以下标准：肾小球滤过率（GFR）小于25ml/min或肌酐清除率（Ccr）小于25ml/min；血肌酐（Scr）大于5mg/dl或大于442umol/L；持续180天。,
167,"（四十八）急性出血坏死性胰腺炎腹腔镜手术
指诊断为急性出血坏死性胰腺炎，并实际实施了腹腔镜手术治疗，已进行
坏死组织清除、坏死病灶切除或胰腺切除。
因酗酒或饮酒过量所致的急性出血坏死性胰腺炎不在保障范围内。",保险是否涵盖因饮酒过量导致的急性出血坏死性胰腺炎？,涵盖，但赔付金额有限制。,涵盖。,不涵盖。,可能涵盖，具体情况未明确说明。,
168,"11.29肌力：
指肌肉收缩时的力量。肌力划分为0-5级，具体为：
0级：肌肉完全瘫痪，毫无收缩。
1级：可看到或者触及肌肉轻微收缩，但不能产生动作。
2级：肌肉在不受重力影响下，可进行运动，即肢体能在床面上移动，但
不能抬高。
3级：在和地心引力相反的方向中尚能完成其动作，但不能对抗外加阻力。
4级：能对抗一定的阻力，但较正常人为低。
5级：正常肌力。",一个人的肌力为3级，那意味着他能对抗任意大小的外加阻力吗？,不是，肌力为3级意味着他肌肉完全瘫痪，毫无收缩。,不是，肌力为3级意味着他在和地心引力相反的方向中能完成动作，但不能对抗外加阻力。,是的，肌力为3级意味着他能对抗任意大小的外加阻力。,是的，肌力为3级意味着他的肢体能在床面上轻松移动。,
169,"13.中度克雅氏
症
指一种罕见的主要发生在老年人之间的可传播的脑病。受感染的人可以有
睡眠紊乱，个性改变，共济失调，失语症，视觉丧失，物理，肌肉萎缩，
肌阵挛，进行性痴呆等症状。须满足自主生活能力严重丧失，无法独立完
成六项基本日常生活活动中的两项。",中度克雅氏症的主要症状是什么？,中度克雅氏症的主要症状包括嗜睡、食欲不振、体重下降等。,中度克雅氏症的主要症状包括皮肤瘙痒、腹泻、肌肉疼痛等。,中度克雅氏症的主要症状包括退行性眼疾、肝功能异常、呼吸困难等。,中度克雅氏症的主要症状包括睡眠紊乱、个性改变、共济失调、失语症、视觉丧失、物理、肌肉萎缩、肌阵挛、进行性痴呆等。,
170,"70.骨生长不全
症
指一种胶原病，特征为骨易碎，骨质疏松和易骨折。该病有4种类型：Ⅰ
型、Ⅱ型、Ⅲ型、Ⅳ型。只保障Ⅲ型成骨不全的情形。其主要临床特点有：
发展迟缓、多发性骨折、进行性脊柱后侧凸及听力损害。Ⅲ型成骨不全的
诊断必须根据身体检查，家族史，X线检查和皮肤活检报告资料确诊。",成骨不全症主要临床特点是什么？,发展迟缓、多发性骨折、进行性脊柱后侧凸及听力损害。,发展迟缓、多发性骨折、进行性脊柱前凸及听力损害。,发展迅速、单发性骨折、进行性脊柱前凸及视力损害。,发展迟缓、单发性骨折、进行性脊柱后侧凸及视力损害。,
171,"14.双目失明
指因疾病或意外伤害导致双眼视力永久不可逆性丧失，双眼中较好眼须满足
下列至少一项条件：
（1）眼球缺失或摘除；
（2）矫正视力低于0.02（采用国际标准视力表，如果使用其他视力表应进行
换算）；
（3）视野半径小于5度。
除眼球缺失或摘除情形外，申请理赔时，被保险人年龄必须在3周岁以上，
并且须提供理赔当时的视力丧失诊断及检查证据。",按照以上保险条款规定，申请理赔时被保险人必须提供的证据是什么？,被保险人在申请理赔时必须提供年龄证明。,被保险人在申请理赔时必须提供有关疾病或意外伤害的详细情况。,被保险人在申请理赔时必须提供与眼球缺失或摘除相关的证明文件。,被保险人在申请理赔时必须提供视力丧失诊断及检查证据。,
172,"4.原位癌
指恶性细胞局限于上皮内尚未穿破基底膜浸润周围正常组织的癌细胞新生
物。原位癌必须经对固定活组织的组织病理学检查明确诊断，临床诊断属于
世界卫生组织（WHO，WorldHealthOrganization）《疾病和有关健康问题
的国际统计分类》第十次修订版（ICD-10）原位癌范畴。被保险人必须已经
接受了针对原位癌病灶的积极治疗。细胞学检查结果不能作为确诊原位癌的
证据。",原位癌的诊断方式是什么？,原位癌可以通过症状和体征来进行诊断。,原位癌必须经对固定活组织的组织病理学检查明确诊断。,原位癌可以通过影像学检查来进行诊断。,原位癌可以通过细胞学检查结果来进行诊断。,
173,"8.2
宣告死亡处理
被保险人在本附加合同保险期间内下落不明，并经人民法院宣告死亡，本公
司依据人民法院的宣告死亡判决及宣告死亡日，按本附加合同规定豁免保险
费。
如日后被保险人重新出现或确知其没有死亡，豁免保险费申请人应于被保险
人重新出现或确知其没有死亡之日起30日内补交已豁免的保险费及本附加
合同的保险费，本附加合同的效力由您和本公司依法协商处理。",如果被保险人在保险期间内下落不明并被宣告死亡，保险费是否会被豁免？,豁免保险费只适用于部分保险附加合同，不包括本附加合同。,是的，根据保险条款规定，如果被保险人在本附加合同保险期间内下落不明并经人民法院宣告死亡，保险公司将豁免保险费。,只有在被保险人重新出现或确知其没有死亡的情况下，保险费才可以豁免。,不会，无论被保险人是否下落不明，保险费都要继续支付。,
174,"25.于颈动脉进行
血管成形术或内
膜切除术
指根据颈动脉造影检查结果，确诊一条或以上颈动脉存在严重狭窄性病变（至
少一支血管管腔直径减少50%以上）。该病须经本公司认可的医疗机构的专科
医生明确诊断，同时必须已经采取以下手术以减轻症状：
（1）确实进行动脉内膜切除术；
（2）确实进行血管介入治疗，例如血管成形术及/或进行植入支架或动脉粥
样瘤清除手术。",该保险条款中要求哪些手术措施已被采取来减轻颈动脉严重狭窄性病变的症状？,该保险条款要求采取颈动脉狭窄的药物治疗来减轻症状。,该保险条款要求采取动脉内膜切除术和/或血管成形术以及/或植入支架或动脉粥样瘤清除手术来减轻症状。,该保险条款要求采取颈动脉外科手术来减轻症状。,该保险条款要求采取颈动脉造影术来减轻症状。,
175,"7.47
植物人状
态
指脑皮质广泛性坏死而导致对自身及周边的认知能力完全丧失,但脑
干功能依然存在。必须由神经专科医生明确诊断,并有头颅断层扫描（CT），
核磁共振检查（MRI）或正电子发射断层扫描（PET）等影像学检查证实。
上述情况必须有至少一个月的病历记录加以证实。
由于酗酒或滥用药物所致的植物人状态不在保障范围内。",根据保险条款，植物人状态需要满足什么条件才能被保障？,植物人状态需要满足脑皮质广泛性坏死导致认知能力完全丧失，但脑干功能依然存在，并且必须由神经专科医生明确诊断并通过影像学检查证实。,植物人状态只需要脑干功能依然存在即可，不需要脑皮质广泛性坏死导致完全丧失认知能力。,植物人状态只需要通过神经专科医生的明确诊断，不需要进行任何影像学检查。,由于酗酒或滥用药物所致的植物人状态也在保障范围内。,
176,"第八条
职业变更的处理
被保险人变更其职业或工作性质时，您或被保险人应在十天内书面通知我们。我们有权根据
变更后的职业或工作性质增加保险费或解除本合同。如解除本合同，我们将按日计算应退还
的未满期保险费。",当被保险人变更其职业或工作性质时，您或被保险人应该在多长时间内向保险公司书面通知？,二十天内,三十天内,十天内。,五天内,
177,"6.5联系方式变更
为了保障您的合法权益，您的住所、通讯地址或电话等联系方式变更时，请及
时以书面形式或双方认可的其他形式通知我们。若您未以书面形式或双方认可
的其他形式通知我们，我们按本合同载明的最后住所、通讯地址或电话发送的
有关通知，均视为已送达给您。",根据保险条款，如果要变更联系方式，应该使用什么方式通知保险公司？,需要以书面形式或双方认可的其他形式通知保险公司。,口头告知保险公司。,发送电子邮件通知保险公司。,通过短信方式通知保险公司。,
178,"87.
8婴儿进行性
该病是累及脊髓前角细胞及延髓运动核的神经元退行性变性病。在出
35
瑞华祥瑞保终身重大疾病保险（互联网）
9
脊肌萎缩症
生后两年内出现的脊髓和脑干颅神经前角细胞进行性机能障碍，伴随
肌肉无力和延髓机能障碍。
我们承担本项疾病责任不受本合同责任免除中“遗传性疾病，先天性
畸形、变形或染色体异常”的限制。",脊肌萎缩症是否被保险公司认定为遗传性疾病？,脊肌萎缩症属于遗传性疾病，不在保险公司的保障范围内。,脊肌萎缩症不受保险合同中“遗传性疾病，先天性畸形、变形或染色体异常”责任免除的限制。,脊肌萎缩症不属于保险合同中“遗传性疾病，先天性畸形、变形或染色体异常”的责任范围。,脊肌萎缩症仅在生后两年内出现，不符合保险公司对“遗传性疾病”的定义，因此不受保险责任的限制。,
179,"104.亚历山大病
一种遗传性中枢神经系统退行性病变，特点为脑白质营养不良性。临
床表现为惊厥发作、智力下降、球麻痹、共济失调、痉性瘫痪。亚历
山大病必须被明确诊断，并且造成永久性神经系统功能障碍。被保险
人自主生活能力完全丧失，无法独立完成六项基本日常生活活动中的
38
瑞华祥瑞保终身重大疾病保险（互联网）
三项或三项以上，日常生活必须持续受到他人护理。
未诊断的疑似病例不在保障范围之内。",亚历山大病必须被明确诊断才能获得保险赔付吗？,只要被怀疑为亚历山大病，即使没有明确诊断，也能获得保险赔付。,是的，亚历山大病必须被明确诊断才能获得保险赔付。,不需要被明确诊断，只要症状符合即可获得保险赔付。,亚历山大病的诊断与保险赔付无关，只要符合病例特征即可获得赔付。,
180,"（六十一）失去一肢及一眼因疾病或意外伤害导致单眼视力丧失及任何一肢自腕关节或踝关节近端
（靠近躯干端）以上完全性断离。
单眼视力丧失指单眼视力永久不可逆性丧失，患眼须满足下列至少一项条
件：
（1）眼球缺失或摘除；
（2）矫正视力低于0.02（采用国际标准视力表，如果使用其它视力表应
进行换算）；
（3）视野半径小于5度。
被保险人在3周岁之前因疾病导致单眼视力丧失不在保障范围内。",保险条款中规定，失去一肢及一眼的情况下，单眼视力丧失必须满足哪些条件？,单眼视力丧失的条件为必须矫正视力低于0.02，并且视野半径小于5度，无视眼球缺失或摘除的情况。,单眼视力丧失必须满足以下所有条件：眼球缺失或摘除，矫正视力低于0.02，并且视野半径小于5度。,单眼视力丧失必须满足以下至少一项条件：眼球缺失或摘除；矫正视力低于0.02；或者视野半径小于5度。,单眼视力丧失仅指眼球缺失或摘除的情况，矫正视力和视野大小无关。,
181,"1.3
犹豫期
自您收到本合同电子保险单次日起，有15日的犹豫期。在此期间，请您认真
审视本合同，如果您认为本合同与您的需求不相符，您可以在此期间提出解
除本合同，我们将无息退还您所交纳的保险费。
解除合同时，您需要以我们认可的方式提交申请，经我们核实您的身份信息
及与我们的保险合同关系后，我们为您办理犹豫期内退保。您提交申请解除
合同之日起，本合同即被解除，我们自本合同生效日起不承担保险责任。",保险是否有犹豫期？,犹豫期只有5天，不是15天。,没有犹豫期，一旦购买保险就无法解除合同。,犹豫期只适用于某些特定类型的保险合同，不包括该合同。,是的，保险合同在您收到电子保险单之日起有15天的犹豫期。,
182,"（七十七）瑞氏综合
征
瑞氏综合征是线粒体功能障碍性疾病。导致脂肪代谢障碍，引起短链脂肪酸、
血氨升高，造成脑水肿。主要临床表现为急性发热、反复呕吐、惊厥及意识
障碍等等。
肝脏活检是确诊的重要手段。瑞氏综合征需由三级医院的儿科专科医生确
诊，并符合下列所有条件：
1.有脑水肿和颅内压升高的脑脊液检查和影像学检查证据；
2.血氨超过正常值的3倍；
3.临床出现昏迷，病程至少达到疾病分期第3期。",瑞氏综合征的确诊条件是什么？,瑞氏综合征的确诊需符合以下条件：有脑水肿和颅内压升高的脑脊液检查和X射线检查证据；血氨超过正常值的4倍；临床出现昏迷，病程至少达到疾病分期第4期。,瑞氏综合征的确诊需符合以下条件：有脑水肿和颅内压升高的脑脊液检查和影像学检查证据；血氨超过正常值的2倍；临床出现昏迷，病程至少达到疾病分期第3期。,瑞氏综合征的确诊需符合以下条件：有脑水肿和颅内压升高的脑脊液检查和影像学检查证据；血氨超过正常值的3倍；临床出现昏迷，病程至少达到疾病分期第3期。,瑞氏综合征的确诊需符合以下条件：有脑水肿和颅内压降低的脑脊液检查和影像学检查证据；血氨超过正常值的2倍；临床出现昏迷，病程至少达到疾病分期第2期。,
183,"6.2
宽限期
分期支付保险费的，您支付首期保险费后，除本合同另有约定外，如果您到
期未支付保险费，自保险费约定支付日的次日零时起60日为宽限期。宽限期
内发生的保险事故，我们仍会承担保险责任，但在给付保险金时会扣减您欠
交的保险费。
如果您宽限期结束之后仍未支付保险费，则本合同自宽限期满的次日零时起
效力中止。
君龙守卫健康B款重大疾病保险（互联网）君龙人寿保险有限公司
20/69",宽限期结束后未支付保险费会导致什么结果？,宽限期结束后未支付保险费，我们会继续承担保险责任，但保险金会减少一定比例。,宽限期结束后未支付保险费，会导致本合同自宽限期满的次日零时起效力中止。根据以上保险条款内容可以找到相关证据。,宽限期结束后未支付保险费，我们将不再承担保险责任。,宽限期结束后未支付保险费，我们会向您追究相关违约责任。,
184,"3.2.86
严重克雅氏病
CJD是一种传染性海绵状脑病，临床表现为快速进行性痴呆、肌阵挛和特征性脑电
图变化。本疾病须经我们认可的医院专科医生根据WHO诊断标准明确诊断，并且
被保险人永久不可逆丧失自主生活能力，无法独立完成六项基本日常生活活动中的
三项或三项以上。",什么是CJD的临床表现？,CJD的临床表现为慢性痴呆、肌无力和正常脑电图变化。,CJD的临床表现为慢性痴呆、肌阵挛和正常脑电图变化。,CJD的临床表现为快速进行性痴呆、肌阵挛和特征性脑电图变化。,CJD的临床表现为快速进行性痴呆、肌无力和特征性脑电图变化。,
185,"1.2
合同成立与生效
您提出保险申请且我们同意承保,本合同成立。本合同成立日期在保险单上
载明。
除另有约定外，自本合同成立、我们收取保险费并签发保险单的次日零时
起本合同生效。本合同生效日期在保险单上载明。
本合同生效日以后每年的生效对应日1是保单周年日，保单年度2、保险费约
定支付日3均以该日期为准计算。除另有约定外，我们自本合同生效之日零
时起开始承担保险责任。",本合同生效日期是从何时开始计算的?,从我们收取保险费并签发保险单的次日零时起。,从本合同成立的当天开始计算。,从您提出保险申请的当天开始计算。,从保单周年日开始计算。,
186,"5.5
争议处理
您和我们发生争议时，可以从以下两种争议处理方式中选择一种：
（1）提交仲裁委员会按提交仲裁时该仲裁委员会现行有效的仲裁规则仲
裁；
（2）向有管辖权的人民法院提起诉讼。
如果您选择以仲裁方式作为合同签署或履行过程中争议处理的方式，需与",如何处理合同签署或履行过程中的争议？,双方协商解决，不进行任何法律程序。,提交仲裁委员会按双方约定的仲裁规则仲裁。,提交仲裁委员会按提交仲裁时该仲裁委员会现行有效的仲裁规则仲裁。,直接向有管辖权的人民法院提起诉讼。,
187,"2.4
不保证续保
本合同不保证续保，保险期间为1年。保险期间届满，您需要重新向我们申请投保
本保险，并经我们同意，交纳保险费，获得新的保险合同。
若本合同保险期间届满时，本保险已停售，我们不再接受投保申请，但会向您提供
投保其他保险产品的合理建议。",保险合同是否保证续保？,保证续保,续保需要经过你的同意并支付新的保险费用,不保证续保,续保需要重新申请并支付保险费,
188,"7.1
您解除合同的手
续及风险
您可以申请解除本主险合同，请填写解除合同申请书并向我们提供下列资
料：
（1）保险合同；
（2）您的有效身份证件。
自我们收到解除合同申请书时起，本主险合同终止。我们自收到解除合同
申请书之日起30日内向您退还本主险合同的现金价值
47。
您解除合同会遭受一定损失。
解除合同后，您会失去原有的保障和保证续保的权益。",解除合同后，会失去哪些权益和保障？,解除合同后，只会失去一部分的保障和续保权益。,解除合同后，会失去原有的保障和保证续保的权益。,解除合同后，仍能享受原有的保障和续保权益。,解除合同后，会获得更好的保障和保证续保的权益。,
189,"Brugada综
合征
被保险人须经医院的心脏专科医生明确诊断，且须满足下列全部条件：
（1）有晕厥或心脏骤停病史，并提供完整的诊疗记录；
（2）心电图有典型的Ⅰ型Brugada波；
（3）已经安装了永久性心脏起搏器。",什么条件下，被保险人可以符合Brugada综合征的保险条款要求？,被保险人需要有晕厥或心脏骤停病史，并提供完整的诊疗记录，心电图显示有典型的Ⅰ型Brugada波，并且已经安装了永久性心脏起搏器。,被保险人只需要心电图显示有典型的Ⅰ型Brugada波即可；,被保险人只需要有晕厥或心脏骤停病史即可；,被保险人只需要已经安装了永久性心脏起搏器即可。,
190,"医疗意外
身故保险
金
若被保险人在医院接受保险单载明的择期手术时遭受医疗意外，且自该次医疗意
外发生之日起7日内因该次医疗意外为直接原因导致身故的，我们按本合同约定
的医疗意外基本保险金额给付医疗意外身故保险金，本合同终止。
若被保险人身故前本合同已发生医疗意外伤残保险金给付的，则给付医疗意外身
故保险金时应扣除已给付的医疗意外伤残保险金。",如果被保险人在医院接受择期手术时遭受医疗意外导致身故，保险公司会支付什么样的保险金？,保险公司只会支付医疗意外伤残保险金，不支付医疗意外身故保险金。,保险公司会按照保险合同约定的医疗意外基本保险金额给付医疗意外身故保险金。,保险公司不会支付医疗意外身故保险金。,保险公司只会支付医疗费用，不支付医疗意外身故保险金。,
191,"本合同的保险责任分为必选保险责任和可选保险责任。
您可以单独投保必选保险责任，也可以在投保必选保险责任的同时投保可
选保险责任，但您不能单独投保可选保险责任。
本合同的保险责任由我们和您在投保时约定并载明于电子保险单上，且
在本合同的有效期内不得变更。",本合同的保险责任可以分为哪两种？,强制保险责任和可选保险责任。,必选保险责任和可选保险责任。,必选保险责任和附加保险责任。,可选保险责任和额外保险责任。,
192,"您、被保险人或者受益人知道保险事故发生后，应当及时通知我们。保险
金的申请应由受益人填写申请书，并向我们递交本合同要求的证明和资
料。
各项医疗保险金的申请文件
1)受益人的身份证明；
2)住院病历、出院小结、检查报告；
3)医疗费原始收据；
4)所能提供的与确认保险事故的性质、原因等有关的证明和资料。
除有关法律法规不允许外，我们将保留进行医学鉴定的权利，其费用将由
我们承担。",保险事故发生后，受益人需要及时通知谁？,受益人应当及时通知医院.,受益人不需要通知任何人.,受益人应当及时通知家人.,受益人应当及时通知保险公司.,
193,"范可尼综合征综合征
指近端肾小管的功能异常引起的一组症候群。须经本公司认可医院的专科医
生诊断，且须满足下列至少两个条件：
（）尿液检查出现肾性糖尿、全氨基酸糖尿或磷酸盐尿；",范可尼综合征的诊断条件是什么？,在近端肾小管的功能异常引起的症候群。,尿液检查出现肾性糖尿、全氨基酸糖尿或磷酸盐尿。,经本公司认可医院的专科医生诊断。,尿液检查出现肾性糖尿、全氨基酸糖尿或磷酸盐尿，并经本公司认可医院的专科医生诊断。,
194,"指一组原发于肌肉的遗传性疾病，临床表现为与神经系统无关的肌肉无力和肌
肉萎缩。但未达到本合同所指重大疾病“严重肌营养不良症”或“瘫痪”标准。
须满足下列全部条件：
（）肌肉组织活检结果满足肌营养不良症的肌肉细胞变性、坏死等阳性改变；",什么是临床表现为肌肉无力和肌肉萎缩的遗传性疾病？,临床表现为肌肉无力和肌肉萎缩的遗传性疾病是指一组与心脏系统无关的肌肉无力和肌肉萎缩的疾病。,临床表现为肌肉无力和肌肉萎缩的遗传性疾病是指一组与神经系统无关的肌肉无力和肌肉萎缩的疾病。,临床表现为肌肉无力和肌肉萎缩的遗传性疾病是指一组与神经系统相关的肌肉无力和肌肉萎缩的疾病。,临床表现为肌肉无力和肌肉萎缩的遗传性疾病是指一组与呼吸系统无关的肌肉无力和肌肉萎缩的疾病。根据保险条款中提到的条件：肌肉组织活检结果满足肌营养不良症的肌肉细胞变性、坏死等阳性改变，可以证明临床表现为肌肉无力和肌肉萎缩的遗传性疾病确实存在肌营养不良症的肌肉细胞变性、坏死等阳性改变。,
195,"指为增进视力或治疗某些角膜疾患，已经实施了异体的角膜移植手术。此手术
必须在本公司认可医院内由专科医生认为是医疗必须的情况下进行。
本公司对“视力严重受损”、“单目失明”和“角膜移植”三项中的其中一项承
担保险责任，给付其中一项保险金后，对其它两项轻症疾病保险责任同时终止。",如果一个人视力严重受损，需要进行角膜移植手术，同时已经在本公司认可医院内由专科医生认为是医疗必须的情况下进行手术，那么本公司会对其承担保险责任吗？,不会，因为只有单目失明才会承担保险责任。,是的，对于视力严重受损，需要进行角膜移植手术的情况下，本公司会承担保险责任。,不会，因为必须同时满足视力严重受损、单目失明和角膜移植三个条件才能承担保险责任。,不会，因为只有角膜移植才会承担保险责任。,
196,"指因疾病或意外伤害导致肝脏严重损害，已经实施了肝左叶切除手术或肝右叶
切除手术（备注：本定义是按肝脏的传统解剖分段法将肝脏分为肝左叶和肝右叶）。
下列情况不在保障范围内：
（1）肝区切除、肝段切除手术；",哪些手术不在保障范围内？,肝脏传统解剖分段手术。,肝左叶切除手术。,肝右叶切除手术。,肝区切除、肝段切除手术。,
197,"2.1.1等待期
被保险人因疾病需要住院治疗、住院手术治疗或住院前、后门诊治疗的，
自本合同生效日起30天内（含第30天）为等待期。
被保险人在等待期内发生的疾病，无论治疗是否发生在等待期内，我们均
不承担给付保险金的责任。
以下两种情形，无等待期：
（1）被保险人因遭受意外伤害事故需要住院治疗、住院手术治疗或住院前
后、门诊治疗的；
（2）您在不迟于上一保险期间届满后30日重新投保本产品的。",被保险人在等待期内发生意外伤害事故需要住院治疗，保险公司是否承担给付保险金的责任？,只有在等待期结束后才会承担给付保险金的责任。,是的，保险公司会承担给付保险金的责任。,不会承担给付保险金的责任。,只有在等待期内发生意外伤害事故并住院治疗且治疗发生在等待期内，保险公司才会承担给付保险金的责任。,
198,"由肠道病毒引起的急性传染病，主要症状表现为手、足、口腔等部位
的斑丘疹、疱疹。经本合同约定医院的儿科专科医生确诊为患有手足口病，并伴有下列三项中的任意一项并发症：
1.有脑膜炎或脑炎并发症，且导致意识障碍或瘫痪的临床表现及实验
室检查证据；
2.有肺炎或肺水肿并发症，且导致呼吸衰竭的临床表现及实验室检查证据；
3.有心肌炎并发症，且导致心脏扩大或心力衰竭的临床表现及实验室检查证据。",如果儿童患有手足口病并伴有脑膜炎或脑炎导致意识障碍或瘫痪，是否符合保险条款的并发症要求？,不符合保险条款的并发症要求。,只有脑膜炎或脑炎，并没有导致意识障碍或瘫痪，也可以符合保险条款的要求。,只有手足口病并没有其他并发症也可以符合保险条款的要求。,是，符合保险条款的并发症要求。,
199,"如果被保险人在等待期后经医疗机构的专科医生初次确诊为本合同约定的“恶性
肿瘤——重度”或原位癌，且因罹患“恶性肿瘤——重度”或原位癌接受门诊手
术治疗，对其每次门诊实际发生并支付的医疗必需且合理的门诊手术医疗费用，
我们在扣除被保险人通过基本医疗保险、公费医疗和其他途径已经补偿或给付的
部分后，按照本合同约定的给付规则给付重度恶性肿瘤及原位癌医疗保险金。",如果被保险人在等待期后被医疗机构的专科医生初次确诊为“恶性肿瘤——重度”或原位癌，且在门诊接受手术治疗，能获得医疗保险金吗？,只有在医院住院接受手术治疗才可以获得医疗保险金，门诊手术不符合条件。,不可以，因为手术治疗只适用于住院情况，而不包括门诊手术治疗。,只有在等待期内确诊的“恶性肿瘤——重度”或原位癌才能获得医疗保险金，等待期后的诊断不符合条件。,是的，根据保险条款内容，被保险人在等待期后经医疗机构的专科医生初次确诊为“恶性肿瘤——重度”或原位癌，并且在门诊接受手术治疗，可以获得重度恶性肿瘤及原位癌医疗保险金。,
200,"89.艾森门格综合征
指因心脏病导致的严重肺动脉高压及右向左分流。诊断必须由心脏专科医生经
超声心动图和心导管检查证实及需符合以下所有标准：
(1)平均肺动脉压高于40mmHg；
(2)肺血管阻力高于3mm/L/min（Wood单位）；
(3)正常肺微血管楔压低于15mmHg。
我们承担本项疾病责任不受本合同责任免除中“被保险人患有遗传性疾病，先
天性畸形、变形或染色体异常”的限制。",根据保险条款，什么情况下我们将不承担“艾森门格综合”疾病的责任？,什么情况下我们将不承担“艾森门格综合”疾病的责任主要是当患有遗传性疾病、先天性畸形、变形或染色体异常时。,什么情况下我们将不承担“艾森门格综合”疾病的责任主要是当肺血管阻力低于3mm/L/min（Wood单位）时。,什么情况下我们将不承担“艾森门格综合”疾病的责任主要是当肺微血管楔压高于15mmHg时。,什么情况下我们将不承担“艾森门格综合”疾病的责任主要是当肺动脉压高于40mmHg时。,
201,"32.原位癌
指恶性细胞局限于上皮内尚未穿破基底膜浸润周围正常组织的癌细胞新生
物，且须满足以下两个条件：
(1)必须经对固定活组织的组织病理学检查明确诊断，属于世界卫生组织《疾
病和有关健康问题的国际统计分类》（ICD-10）的原位癌范畴（D00-D09）；
(2)被保险人必须己经接受了针对原位癌病灶的手术治疗。",原位癌需要满足哪两个条件才能被保险公司认可？,原位癌只需要满足第一个条件就可以被保险公司认可。,原位癌只需要接受手术治疗，不需要经过组织病理学检查就可以被保险公司认可。,原位癌不需要经过组织病理学检查就可以被保险公司认可。,原位癌需要满足以下两个条件才能被保险公司认可：(1)必须经对固定活组织的组织病理学检查明确诊断，属于ICD-10的原位癌范畴；(2)被保险人必须己经接受了针对原位癌病灶的手术治疗。,
202,"专科医生应当同时满足以下四项资格条件：
一、具有有效的中华人民共和国《医师资格证书》；
二、具有有效的中华人民共和国《医师执业证书》，并按期到相关部门登记注册；
三、具有有效的中华人民共和国主治医师或主治医师以上职称的《医师职称证书》；
四、在国家《医院分级管理标准》二级或二级以上医院的相应科室从事临床工作三年以上。",一个专科医生在参与某家二级以上医院的临床工作时，需要满足哪些条件？,专科医生需要具备有效的中华人民共和国《医师资格证书》和《医师执业证书》，但不需要具备《医师职称证书》。,专科医生只需要具备有效的中华人民共和国《医师资格证书》即可。,专科医生需要同时具备有效的中华人民共和国《医师资格证书》、《医师执业证书》和《医师职称证书》，并且在二级或二级以上医院的相应科室从事临床工作三年以上。,专科医生只需要在二级或二级以上医院的相应科室从事临床工作三年以上即可，不需要具备其他证书。,
203,"3.1
责任免除
因下列情形之一，导致被保险人发生特定疾病、身故的，我们不承担特定疾
病保险金、身故保险金的责任：
(1)投保人对被保险人的故意杀害、故意伤害；
(2)被保险人故意犯罪或者抗拒依法采取的刑事强制措施；
(3)被保险人故意自伤、或自本合同成立或者本合同效力恢复之日起2年内
自杀，但被保险人自杀时为无民事行为能力人的除外；
(4)被保险人服用、吸食或注射毒品",保险条款中列举的情形之一导致被保险人发生特定疾病或身故的情况是什么？,被保险人故意犯罪或抗拒刑事强制措施导致的特定疾病或身故。,被保险人故意自伤、或自本合同成立或者本合同效力恢复之日起2年内自杀，但被保险人自杀时为无民事行为能力人的除外。,毒品滥用导致的特定疾病或身故。,被保险人对投保人的故意杀害导致的特定疾病或身故。,
204,"13.23语言能力丧失－三周岁开始理赔
指因疾病或意外伤害导致语言能力完全丧失，经过积极治疗至少12个月（声带完
全切除不受此时间限制），仍无法通过现有医疗手段恢复。
精神心理因素所致的语言能力丧失不在保障范围内。
申请理赔时，被保险人年龄必须在三周岁以上，并且提供理赔当时的语
言能力丧失诊断及检查证据。",在申请理赔时，被保险人的年龄要求是多少？,被保险人年龄必须在五周岁以上,被保险人年龄必须在三周岁以上,被保险人年龄必须在四周岁以上,被保险人年龄必须在二周岁以上,
